Name,Address,Category,Rating,Reviews,PlaceID,Lat,Lng
"The Fountains","8173 Ardrey Kell Rd, Charlotte, NC 28277, USA","shopping_mall",4.4,84,ChIJrUF9hQkoVIgRrznNlL8Hfe0,35.0385146,-80.7940374
"Carolina Commons","Carolina Commons Dr, Indian Land, SC 29707, USA","shopping_mall",4.5,444,ChIJKXPBhZaBVogRKAhFXUuDvlc,34.9378117,-80.8383716
"The Shoppes at Ardrey Kell","16615 Lancaster Hwy, Charlotte, NC 28277, USA","shopping_mall",4.4,844,ChIJLVF08d2CVogRYUTDa88-Psc,35.0233139,-80.8478863
"Village Commons","6300 Weddington Rd, Wesley Chapel, NC 28104, USA","shopping_mall",4.5,509,ChIJEV5QBxgvVIgROgPOZ_YgetY,35.000166,-80.6992296
"Shoppes at 521","9789 Charlotte Hwy, Indian Land, SC 29707, USA","shopping_mall",4.5,135,ChIJZ2KQSACDVogRmvaHX4yaLp4,35.0036743,-80.8559951
"The Shoppes at Millview","116 E South Main St, Waxhaw, NC 28173, USA","shopping_mall",4.7,15,ChIJedehInorVIgRj1nHwkpK6Ns,34.9245625,-80.7412971
"The Commons At Doby's Bridge","Charlotte Hwy #8439, Indian Land, SC 29707, USA","shopping_mall",4.5,32,ChIJkc3C83-BVogRMTKS1zHgDXY,34.9567089,-80.85482499999999
"Catawba Commons","8165 Charlotte Hwy, Indian Land, SC 29707, USA","shopping_mall",4.5,49,ChIJAStxwdmBVogR_Fmjryn7jQ8,34.9496991,-80.847112
"Carolina Crossing","9931 Charlotte Hwy, Indian Land, SC 29707, USA","shopping_mall",0,0,ChIJH2IyBwCDVogRvbcZ8VfP4-A,35.0070878,-80.8546226
"Belle Rea Building","11301 Golf Links Dr N, Charlotte, NC 28277, USA","shopping_mall",4.3,13,ChIJbeKNZ-8nVIgRsszbXn4EcIc,35.055214899999996,-80.7703464
"Rea Village","11524 Providence Rd, Charlotte, NC 28277, USA","shopping_mall",4.6,173,ChIJ3zMaNMwnVIgRWugA4YyJhPI,35.0527054,-80.77022099999999
"Beautie by Mary","9855 Sandy Rock Pl, Charlotte, NC 28277, USA","shopping_mall",0,0,ChIJIV9eOg0nVIgRyqecvhhepmI,35.052344999999995,-80.773442
"Ulta Beauty","7211 Waverly Walk Ave JR-1, Charlotte, NC 28277, USA","beauty_salon",4,273,ChIJRxX3kswnVIgR20vai6k753Y,35.0536549,-80.7674469
"IDOLIZE Brows and Beauty at Rea Farms","9825 Sandy Rock Pl suite f, Charlotte, NC 28277, USA","beauty_salon",4.9,810,ChIJu69hGQAnVIgRznIObmj45f8,35.052843700000004,-80.7735502
